Wavelength [nm];Rel Em Int [a.u.]
353.4716342;0.004878049
357.0279424;0.003377111
360.2878916;0.003377111
363.8441998;0.003377111
369.4750212;0.003377111
383.403895;0.001876173
391.1092295;0.003377111
400;0.003377111
410.3725656;0.003377111
414.2252329;0.009380863
416.596105;0.009380863
422.8196444;0.01988743
427.5613887;0.036397749
430.5249788;0.052908068
434.081287;0.09043152
437.0448772;0.126454034
440.6011854;0.190994371
443.1202371;0.23902439
444.1574936;0.269043152
446.2320068;0.350093809
447.7138019;0.417636023
449.491956;0.492682927
450.5292125;0.554221388
451.4182896;0.590243902
452.4555461;0.656285178
453.6409822;0.71782364
454.5300593;0.779362101
455.7154953;0.848405253
456.3082134;0.893433396
456.7527519;0.930956848
459.2718036;0.993996248
461.6426757;0.987992495
464.0135478;0.917448405
466.680779;0.800375235
467.5698561;0.722326454
468.1625741;0.669793621
469.9407282;0.605253283
470.5334462;0.572232645
473.2006774;0.503189493
477.0533446;0.419136961
480.0169348;0.357598499
485.9441152;0.251031895
492.1676545;0.198499062
494.8348857;0.186491557
500.169348;0.175984991
504.9110923;0.186491557
506.3928874;0.187992495
509.0601185;0.204502814
511.1346317;0.20750469
515.2836579;0.240525328
517.9508891;0.254033771
520.3217612;0.275046904
522.6926334;0.281050657
525.0635055;0.303564728
529.2125318;0.323076923
533.657917;0.338086304
535.4360711;0.351594747
537.5105843;0.357598499
540.4741744;0.371106942
545.2159187;0.378611632
546.4013548;0.386116323
551.4394581;0.386116323
553.2176122;0.390619137
556.1812024;0.390619137
557.6629975;0.395121951
560.0338696;0.392120075
562.7011008;0.398123827
565.0719729;0.390619137
571.5918713;0.392120075
573.9627434;0.386116323
576.3336156;0.386116323
580.4826418;0.374108818
584.9280271;0.375609756
587.2988992;0.368105066
589.0770533;0.368105066
593.8187976;0.350093809
598.5605419;0.344090056
600.635055;0.336585366
605.0804403;0.321575985
607.4513124;0.318574109
608.9331075;0.306566604
611.3039797;0.306566604
613.9712108;0.293058161
616.045724;0.290056285
620.4911092;0.273545966
625.2328535;0.257035647
627.3073666;0.254033771
629.0855207;0.245028143
631.4563929;0.242026266
633.827265;0.228517824
637.9762913;0.215009381
642.7180356;0.195497186
645.0889077;0.19249531
647.1634208;0.186491557
649.830652;0.174484053
651.6088061;0.166979362
653.6833192;0.165478424
657.2396274;0.153470919
662.5740898;0.144465291
665.2413209;0.132457786
667.6121931;0.130956848
669.0939881;0.120450281
678.8738357;0.102439024
683.022862;0.088930582
685.0973751;0.085928705
686.8755292;0.085928705
689.5427604;0.078424015
693.6917866;0.070919325
695.7662997;0.070919325
700.211685;0.063414634
702.8789162;0.063414634
708.8060965;0.051407129
711.4733277;0.051407129
713.5478408;0.046904315
715.6223539;0.046904315
717.9932261;0.042401501
720.6604572;0.042401501
722.4386113;0.039399625
724.5131245;0.039399625
729.2548688;0.030393996
731.3293819;0.034896811
733.107536;0.030393996
736.0711262;0.030393996
738.1456393;0.025891182
741.9983065;0.025891182
744.3691787;0.022889306
749.1109229;0.022889306
